name,category,value
Braeutigam,Neurobiology,0
Braeutigam,Integrative Physiology,100
Braeutigam,Cell Biology,100
Braeutigam,Molecular Biology,100
Braeutigam,Animal Behaviour,0
Braeutigam,Plant Biology,100
Braeutigam,Epigenetics,100
Braeutigam,Paleontology,0
Braeutigam,Evolutionary Biology,0
Braeutigam,Ecology,0
Braeutigam,Biological Responses to Climate Change,100
Braeutigam,Stress and Disease Biology,100
Braeutigam,Molecular Visualization,0
Braeutigam,Visual Representation of Biology/Science,0
Currie,Neurobiology,0
Currie,Integrative Physiology,0
Currie,Cell Biology,100
Currie,Molecular Biology,100
Currie,Animal Behaviour,0
Currie,Plant Biology,0
Currie,Epigenetics,100
Currie,Paleontology,0
Currie,Evolutionary Biology,0
Currie,Ecology,0
Currie,Biological Responses to Climate Change,0
Currie,Stress and Disease Biology,100
Currie,Molecular Visualization,100
Currie,Visual Representation of Biology/Science,0
Rhee,Neurobiology,100
Rhee,Integrative Physiology,0
Rhee,Cell Biology,100
Rhee,Molecular Biology,100
Rhee,Animal Behaviour,100
Rhee,Plant Biology,0
Rhee,Epigenetics,100
Rhee,Paleontology,0
Rhee,Evolutionary Biology,0
Rhee,Ecology,0
Rhee,Biological Responses to Climate Change,0
Rhee,Stress and Disease Biology,100
Rhee,Molecular Visualization,0
Rhee,Visual Representation of Biology/Science,0
Walters,Neurobiology,100
Walters,Integrative Physiology,0
Walters,Cell Biology,100
Walters,Molecular Biology,100
Walters,Animal Behaviour,100
Walters,Plant Biology,0
Walters,Epigenetics,100
Walters,Paleontology,0
Walters,Evolutionary Biology,0
Walters,Ecology,0
Walters,Biological Responses to Climate Change,0
Walters,Stress and Disease Biology,0
Walters,Molecular Visualization,0
Walters,Visual Representation of Biology/Science,0
Phillips,Neurobiology,0
Phillips,Integrative Physiology,100
Phillips,Cell Biology,100
Phillips,Molecular Biology,100
Phillips,Animal Behaviour,0
Phillips,Plant Biology,100
Phillips,Epigenetics,0
Phillips,Paleontology,0
Phillips,Evolutionary Biology,0
Phillips,Ecology,0
Phillips,Biological Responses to Climate Change,0
Phillips,Stress and Disease Biology,0
