name,category,value
Katharina Braeutigam,Neurobiology,0
Katharina Braeutigam,Integrative Physiology,2
Katharina Braeutigam,Cell Biology,3
Katharina Braeutigam,Molecular Biology,4
Katharina Braeutigam,Animal Behaviour,0
Katharina Braeutigam,Plant Biology,6
Katharina Braeutigam,Epigenetics,7
Katharina Braeutigam,Paleontology,0
Katharina Braeutigam,Evolutionary Biology,0
Katharina Braeutigam,Ecology,0
Katharina Braeutigam,Biological Responses to Climate Change,11
Katharina Braeutigam,Stress and Disease Biology,12
Katharina Braeutigam,Molecular Visualization,0
Katharina Braeutigam,Visual Representation of Biology/Science,0
Hai-Ying (Mary) Cheng,Neurobiology,1
Hai-Ying (Mary) Cheng,Integrative Physiology,0
Hai-Ying (Mary) Cheng,Cell Biology,3
Hai-Ying (Mary) Cheng,Molecular Biology,4
Hai-Ying (Mary) Cheng,Animal Behaviour,5
Hai-Ying (Mary) Cheng,Plant Biology,0
Hai-Ying (Mary) Cheng,Epigenetics,0
Hai-Ying (Mary) Cheng,Paleontology,0
Hai-Ying (Mary) Cheng,Evolutionary Biology,0
Hai-Ying (Mary) Cheng,Ecology,0
Hai-Ying (Mary) Cheng,Biological Responses to Climate Change,0
Hai-Ying (Mary) Cheng,Stress and Disease Biology,12
Hai-Ying (Mary) Cheng,Molecular Visualization,0
Hai-Ying (Mary) Cheng,Visual Representation of Biology/Science,0
Mark Currie,Neurobiology,0
Mark Currie,Integrative Physiology,0
Mark Currie,Cell Biology,3
Mark Currie,Molecular Biology,4
Mark Currie,Animal Behaviour,0
Mark Currie,Plant Biology,0
Mark Currie,Epigenetics,7
Mark Currie,Paleontology,0
Mark Currie,Evolutionary Biology,0
Mark Currie,Ecology,0
Mark Currie,Biological Responses to Climate Change,0
Mark Currie,Stress and Disease Biology,12
Mark Currie,Molecular Visualization,13
Mark Currie,Visual Representation of Biology/Science,0
Cassidy D'Aloia,Neurobiology,0
Cassidy D'Aloia,Integrative Physiology,0
Cassidy D'Aloia,Cell Biology,0
Cassidy D'Aloia,Molecular Biology,0
Cassidy D'Aloia,Animal Behaviour,0
Cassidy D'Aloia,Plant Biology,0
Cassidy D'Aloia,Epigenetics,0
Cassidy D'Aloia,Paleontology,0
Cassidy D'Aloia,Evolutionary Biology,9
Cassidy D'Aloia,Ecology,10
Cassidy D'Aloia,Biological Responses to Climate Change,11
Cassidy D'Aloia,Stress and Disease Biology,0
Cassidy D'Aloia,Molecular Visualization,0
Cassidy D'Aloia,Visual Representation of Biology/Science,0
Marcus Dillon,Neurobiology,0
Marcus Dillon,Integrative Physiology,0
Marcus Dillon,Cell Biology,0
Marcus Dillon,Molecular Biology,4
Marcus Dillon,Animal Behaviour,0
Marcus Dillon,Plant Biology,6
Marcus Dillon,Epigenetics,0
Marcus Dillon,Paleontology,0
Marcus Dillon,Evolutionary Biology,9
Marcus Dillon,Ecology,0
Marcus Dillon,Biological Responses to Climate Change,0
Marcus Dillon,Stress and Disease Biology,12
Marcus Dillon,Molecular Visualization,0
Marcus Dillon,Visual Representation of Biology/Science,0
Ingo Ensminger,Neurobiology,0
Ingo Ensminger,Integrative Physiology,0
Ingo Ensminger,Cell Biology,0
Ingo Ensminger,Molecular Biology,4
Ingo Ensminger,Animal Behaviour,0
Ingo Ensminger,Plant Biology,6
Ingo Ensminger,Epigenetics,0
Ingo Ensminger,Paleontology,0
Ingo Ensminger,Evolutionary Biology,0
Ingo Ensminger,Ecology,10
Ingo Ensminger,Biological Responses to Climate Change,11
Ingo Ensminger,Stress and Disease Biology,12
Ingo Ensminger,Molecular Visualization,0
Ingo Ensminger,Visual Representation of Biology/Science,0
Ted Erclik,Neurobiology,1
Ted Erclik,Integrative Physiology,0
Ted Erclik,Cell Biology,3
Ted Erclik,Molecular Biology,4
Ted Erclik,Animal Behaviour,0
Ted Erclik,Plant Biology,0
Ted Erclik,Epigenetics,0
Ted Erclik,Paleontology,0
Ted Erclik,Evolutionary Biology,0
Ted Erclik,Ecology,0
Ted Erclik,Biological Responses to Climate Change,0
Ted Erclik,Stress and Disease Biology,0
Ted Erclik,Molecular Visualization,0
Ted Erclik,Visual Representation of Biology/Science,0
George Espie,Neurobiology,0
George Espie,Integrative Physiology,2
George Espie,Cell Biology,3
George Espie,Molecular Biology,4
George Espie,Animal Behaviour,0
George Espie,Plant Biology,0
George Espie,Epigenetics,0
George Espie,Paleontology,0
George Espie,Evolutionary Biology,0
George Espie,Ecology,0
George Espie,Biological Responses to Climate Change,0
George Espie,Stress and Disease Biology,12
George Espie,Molecular Visualization,0
George Espie,Visual Representation of Biology/Science,0
Jodie Jenkinson,Neurobiology,0
Jodie Jenkinson,Integrative Physiology,0
Jodie Jenkinson,Cell Biology,0
Jodie Jenkinson,Molecular Biology,0
Jodie Jenkinson,Animal Behaviour,0
Jodie Jenkinson,Plant Biology,0
Jodie Jenkinson,Epigenetics,0
Jodie Jenkinson,Paleontology,0
Jodie Jenkinson,Evolutionary Biology,0
Jodie Jenkinson,Ecology,0
Jodie Jenkinson,Biological Responses to Climate Change,0
Jodie Jenkinson,Stress and Disease Biology,0
Jodie Jenkinson,Molecular Visualization,13
Jodie Jenkinson,Visual Representation of Biology/Science,14
Marc Johnson,Neurobiology,0
Marc Johnson,Integrative Physiology,0
Marc Johnson,Cell Biology,0
Marc Johnson,Molecular Biology,0
Marc Johnson,Animal Behaviour,0
Marc Johnson,Plant Biology,0
Marc Johnson,Epigenetics,0
Marc Johnson,Paleontology,0
Marc Johnson,Evolutionary Biology,9
Marc Johnson,Ecology,10
Marc Johnson,Biological Responses to Climate Change,0
Marc Johnson,Stress and Disease Biology,0
Marc Johnson,Molecular Visualization,0
Marc Johnson,Visual Representation of Biology/Science,0
Peter M. Kotanen,Neurobiology,0
Peter M. Kotanen,Integrative Physiology,0
Peter M. Kotanen,Cell Biology,0
Peter M. Kotanen,Molecular Biology,0
Peter M. Kotanen,Animal Behaviour,0
Peter M. Kotanen,Plant Biology,6
Peter M. Kotanen,Epigenetics,0
Peter M. Kotanen,Paleontology,0
Peter M. Kotanen,Evolutionary Biology,0
Peter M. Kotanen,Ecology,10
Peter M. Kotanen,Biological Responses to Climate Change,11
Peter M. Kotanen,Stress and Disease Biology,0
Peter M. Kotanen,Molecular Visualization,0
Peter M. Kotanen,Visual Representation of Biology/Science,0
Angela B. Lange,Neurobiology,1
Angela B. Lange,Integrative Physiology,2
Angela B. Lange,Cell Biology,3
Angela B. Lange,Molecular Biology,4
Angela B. Lange,Animal Behaviour,0
Angela B. Lange,Plant Biology,0
Angela B. Lange,Epigenetics,0
Angela B. Lange,Paleontology,0
Angela B. Lange,Evolutionary Biology,0
Angela B. Lange,Ecology,0
Angela B. Lange,Biological Responses to Climate Change,0
Angela B. Lange,Stress and Disease Biology,0
Angela B. Lange,Molecular Visualization,0
Angela B. Lange,Visual Representation of Biology/Science,0
