name,category,value
Rhee,Neurobiology,100
Rhee,Integrative Physiology,1
Rhee,Cell Biology,100
Rhee,Molecular Biology,100
Rhee,Animal Behaviour,100
Rhee,Plant Biology,1
Rhee,Epigenetics,100
Rhee,Paleontology,1
Rhee,Evolutionary Biology,1
Rhee,Ecology,1
Rhee,Biological Responses to Climate Change,1
Rhee,Stress and Disease Biology,100
Rhee,Molecular Visualization,1
Rhee,Visual Representation of Biology/Science,1
Senatore,Neurobiology,100
Senatore,Integrative Physiology,100
Senatore,Cell Biology,100
Senatore,Molecular Biology,100
Senatore,Animal Behaviour,100
Senatore,Plant Biology,1
Senatore,Epigenetics,1
Senatore,Paleontology,1
Senatore,Evolutionary Biology,100
Senatore,Ecology,1
Senatore,Biological Responses to Climate Change,1
Senatore,Stress and Disease Biology,1
Senatore,Molecular Visualization,1
Senatore,Visual Representation of Biology/Science,1
Short,Neurobiology,1
Short,Integrative Physiology,1
Short,Cell Biology,1
Short,Molecular Biology,100
Short,Animal Behaviour,1
Short,Plant Biology,1
Short,Epigenetics,1
Short,Paleontology,1
Short,Evolutionary Biology,1
Short,Ecology,100
Short,Biological Responses to Climate Change,1
Short,Stress and Disease Biology,1
Short,Molecular Visualization,1
Short,Visual Representation of Biology/Science,1
Stefanovic,Neurobiology,1
Stefanovic,Integrative Physiology,1
Stefanovic,Cell Biology,1
Stefanovic,Molecular Biology,1
Stefanovic,Animal Behaviour,1
Stefanovic,Plant Biology,100
Stefanovic,Epigenetics,1
Stefanovic,Paleontology,1
Stefanovic,Evolutionary Biology,100
Stefanovic,Ecology,1
Stefanovic,Biological Responses to Climate Change,1
Stefanovic,Stress and Disease Biology,1
Stefanovic,Molecular Visualization,1
Stefanovic,Visual Representation of Biology/Science,1
Stewart,Neurobiology,100
Stewart,Integrative Physiology,100
Stewart,Cell Biology,100
Stewart,Molecular Biology,100
Stewart,Animal Behaviour,1
Stewart,Plant Biology,1
Stewart,Epigenetics,1
Stewart,Paleontology,1
Stewart,Evolutionary Biology,1
Stewart,Ecology,1
Stewart,Biological Responses to Climate Change,1
Stewart,Stress and Disease Biology,1
Stewart,Molecular Visualization,1
Stewart,Visual Representation of Biology/Science,1
Wagner,Neurobiology,1
Wagner,Integrative Physiology,1
Wagner,Cell Biology,1
Wagner,Molecular Biology,1
Wagner,Animal Behaviour,1
Wagner,Plant Biology,1
Wagner,Epigenetics,1
Wagner,Paleontology,1
Wagner,Evolutionary Biology,100
Wagner,Ecology,100
Wagner,Biological Responses to Climate Change,100
Wagner,Stress and Disease Biology,1
Wagner,Molecular Visualization,1
Wagner,Visual Representation of Biology/Science,1
Wall,Neurobiology,1
Wall,Integrative Physiology,1
Wall,Cell Biology,1
Wall,Molecular Biology,1
Wall,Animal Behaviour,1
Wall,Plant Biology,1
Wall,Epigenetics,1
Wall,Paleontology,1
Wall,Evolutionary Biology,1
Wall,Ecology,1
Wall,Biological Responses to Climate Change,1
Wall,Stress and Disease Biology,1
Wall,Molecular Visualization,1
Wall,Visual Representation of Biology/Science,100
Walters,Neurobiology,100
Walters,Integrative Physiology,1
Walters,Cell Biology,100
Walters,Molecular Biology,100
Walters,Animal Behaviour,100
Walters,Plant Biology,1
Walters,Epigenetics,100
Walters,Paleontology,1
Walters,Evolutionary Biology,1
Walters,Ecology,1
Walters,Biological Responses to Climate Change,1
Walters,Stress and Disease Biology,1
Walters,Molecular Visualization,1
Walters,Visual Representation of Biology/Science,1
Woolridge,Neurobiology,1
Woolridge,Integrative Physiology,1
Woolridge,Cell Biology,1
Woolridge,Molecular Biology,1
Woolridge,Animal Behaviour,1
Woolridge,Plant Biology,1
Woolridge,Epigenetics,1
Woolridge,Paleontology,1
Woolridge,Evolutionary Biology,1
Woolridge,Ecology,1
Woolridge,Biological Responses to Climate Change,1
Woolridge,Stress and Disease Biology,1
Woolridge,Molecular Visualization,100
Woolridge,Visual Representation of Biology/Science,100
